Entry	Gene names	Protein names	Annotation	Gene ontology (biological process)	Cross-reference (KEGG)	Cross-reference (Pfam)	EnsemblBacteria transcript	Cross-reference (BioCyc)
P52062	hemW yggW b2955 JW2922	Heme chaperone HemW	4 out of 5	porphyrin-containing compound biosynthetic process [GO:0006779]	ecj:JW2922;eco:b2955;	PF06969;PF04055;	AAC75992;BAE77018;	EcoCyc:G7531-MONOMER;ECOL316407:JW2922-MONOMER;
P77494	hokB ydcB b4428 JW5225	Toxic protein HokB	3 out of 5	dormancy process [GO:0022611]	ecj:JW5225;eco:b4428;	PF01848;	AAT48130;BAA15042;	EcoCyc:MONOMER0-1604;ECOL316407:JW5225-MONOMER;
P0A700	hypA b2726 JW2696	Hydrogenase maturation factor HypA	5 out of 5	cellular protein modification process [GO:0006464]; protein maturation [GO:0051604]	ecj:JW2696;eco:b2726;	PF01155;	AAC75768;BAE76803;	EcoCyc:EG10483-MONOMER;ECOL316407:JW2696-MONOMER;MetaCyc:EG10483-MONOMER;
P03835	insG b4278 JW5767	Transposase InsG for insertion sequence element IS4	2 out of 5	transposition, DNA-mediated [GO:0006313]	ecj:JW5767;eco:b4278;	PF01609;PF13006;	AAC77234;BAE78272;	EcoCyc:G7900-MONOMER;ECOL316407:JW5767-MONOMER;
P0CF79	insF1 b0299 JW0293	Transposase InsF for insertion sequence IS3A	2 out of 5	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]	ecj:JW0293;eco:b0299;eco:b0372;eco:b0541;eco:b1026;eco:b2089;	PF13276;PF00665;	AAC73402;BAE76084;	EcoCyc:G7126-MONOMER;
P75679	insN1 b0255 JW5024	Putative transposase InsN for insertion sequence element IS911A	2 out of 5	transposition, DNA-mediated [GO:0006313]	ecj:JW5024;	PF01527;	BAA77925;	ECOL316407:JW5024-MONOMER;
P0A9W6	ibaG yrbA b3190 JW3157	Acid stress protein IbaG	3 out of 5		ecj:JW3157;eco:b3190;	PF01722;	AAC76222;BAE77234;	EcoCyc:G7657-MONOMER;ECOL316407:JW3157-MONOMER;
P0A720	tmk ycfG b1098 JW1084	Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)	5 out of 5	dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; dUDP biosynthetic process [GO:0006227]; nucleobase-containing small molecule interconversion [GO:0015949]	ecj:JW1084;eco:b1098;	PF02223;	AAC74182;BAA35905;	EcoCyc:DTMPKI-MONOMER;ECOL316407:JW1084-MONOMER;MetaCyc:DTMPKI-MONOMER;
P0ABN1	dgkA b4042 JW4002	Diacylglycerol kinase (DAGK) (EC 2.7.1.107) (Diglyceride kinase) (DGK)	4 out of 5	phosphatidic acid biosynthetic process [GO:0006654]; response to UV [GO:0009411]	ecj:JW4002;eco:b4042;	PF01219;	AAC77012;BAE78044;	EcoCyc:DIACYLGLYKIN-MONOMER;ECOL316407:JW4002-MONOMER;MetaCyc:DIACYLGLYKIN-MONOMER;
P0AD72	pheL pheAE b2598 JW2579	phe operon leader peptide (phe operon attenuator peptide)	2 out of 5		ecj:JW2579;eco:b2598;		AAC75647;BAE76755;	EcoCyc:EG11271-MONOMER;ECOL316407:JW2579-MONOMER;
P24205	lpxM msbB b1855 JW1844	Lipid A biosynthesis myristoyltransferase (EC 2.3.1.243) (Kdo(2)-lauroyl-lipid IV(A) myristoyltransferase)	4 out of 5	Kdo2-lipid A biosynthetic process [GO:0036104]; lipopolysaccharide biosynthetic process [GO:0009103]	ecj:JW1844;eco:b1855;	PF03279;	AAC74925;BAA15663;	EcoCyc:MYRISTOYLACYLTRAN-MONOMER;ECOL316407:JW1844-MONOMER;MetaCyc:MYRISTOYLACYLTRAN-MONOMER;
P75823	ltaE ybjU b0870 JW0854	Low specificity L-threonine aldolase (Low specificity L-TA) (EC 4.1.2.48)	5 out of 5	glycine biosynthetic process [GO:0006545]; threonine catabolic process [GO:0006567]	ecj:JW0854;eco:b0870;	PF01212;	AAC73957;BAA35584;	EcoCyc:LTAA-MONOMER;ECOL316407:JW0854-MONOMER;MetaCyc:LTAA-MONOMER;
P0ACD8	hyaB b0973 JW0955	Hydrogenase-1 large chain (HYD1) (EC 1.12.99.6) (Membrane-bound hydrogenase 1 large subunit) (NiFe hydrogenase)	5 out of 5	anaerobic respiration [GO:0009061]; fermentation [GO:0006113]	ecj:JW0955;eco:b0973;	PF00374;	AAC74058;BAA35738;	EcoCyc:HYAB-MONOMER;ECOL316407:JW0955-MONOMER;MetaCyc:HYAB-MONOMER;
P0ACH8	melR b4118 JW4079	Melibiose operon regulatory protein	3 out of 5	regulation of transcription, DNA-templated [GO:0006355]	ecj:JW4079;eco:b4118;	PF12833;	AAC77079;BAE78120;	EcoCyc:PD00208;ECOL316407:JW4079-MONOMER;
P40874	solA b1059 JW1046	N-methyl-L-tryptophan oxidase (MTOX) (EC 1.5.3.-)	5 out of 5	cellular response to DNA damage stimulus [GO:0006974]	ecj:JW1046;eco:b1059;	PF01266;	AAC74143;BAA35856;	EcoCyc:SARCOX-MONOMER;ECOL316407:JW1046-MONOMER;MetaCyc:SARCOX-MONOMER;
P39370	nanS yjhS b4309 JW4272	Probable 9-O-acetyl-N-acetylneuraminic acid deacetylase (Neu5,9Ac2 deacetylase) (EC 3.1.1.-) (Probable 9-O-acetyl-N-acetylneuraminate esterase) (Probable sialyl esterase NanS)	4 out of 5	carbohydrate metabolic process [GO:0005975]; carboxylic acid metabolic process [GO:0019752]; N-acetylneuraminate metabolic process [GO:0006054]	ecj:JW4272;eco:b4309;	PF03629;	AAC77265;BAE78302;	EcoCyc:G7919-MONOMER;ECOL316407:JW4272-MONOMER;MetaCyc:G7919-MONOMER;
P45425	nanK yhcI b3222 JW5538	N-acetylmannosamine kinase (EC 2.7.1.60) (ManNAc kinase) (N-acetyl-D-mannosamine kinase)	5 out of 5	cellular response to DNA damage stimulus [GO:0006974]; N-acetylmannosamine metabolic process [GO:0006051]; N-acetylneuraminate catabolic process [GO:0019262]	ecj:JW5538;eco:b3222;	PF00480;	AAC76254;BAE77265;	EcoCyc:NANK-MONOMER;ECOL316407:JW5538-MONOMER;MetaCyc:NANK-MONOMER;
P0AFA5	nfrB b0569 JW0558	Bacteriophage adsorption protein B (Bacteriophage N4 adsorption protein B)	2 out of 5	protein secretion by the type II secretion system [GO:0015628]	ecj:JW0558;eco:b0569;	PF13632;PF05157;	AAC73670;BAA35203;	EcoCyc:EG11739-MONOMER;ECOL316407:JW0558-MONOMER;
P0AFF0	nuoN b2276 JW2271	NADH-quinone oxidoreductase subunit N (EC 7.1.1.-) (NADH dehydrogenase I subunit N) (NDH-1 subunit N) (NUO14)	5 out of 5	aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]	ecj:JW2271;eco:b2276;	PF00361;	AAC75336;BAA16103;	EcoCyc:NUON-MONOMER;ECOL316407:JW2271-MONOMER;MetaCyc:NUON-MONOMER;
P30871	ygiF b3054 JW3026	Inorganic triphosphatase (PPPase) (EC 3.6.1.25) (ORFXE)	4 out of 5		ecj:JW3026;eco:b3054;	PF01928;	AAC76090;BAE77105;	EcoCyc:EG11603-MONOMER;ECOL316407:JW3026-MONOMER;MetaCyc:EG11603-MONOMER;
P26365	amiB yjeD b4169 JW4127	N-acetylmuramoyl-L-alanine amidase AmiB (EC 3.5.1.28)	3 out of 5	cell wall organization [GO:0071555]; FtsZ-dependent cytokinesis [GO:0043093]; peptidoglycan catabolic process [GO:0009253]	ecj:JW4127;eco:b4169;	PF01520;	AAC77126;BAE78170;	EcoCyc:NACMURLALAAMI2-MONOMER;ECOL316407:JW4127-MONOMER;MetaCyc:NACMURLALAAMI2-MONOMER;
P33224	aidB b4187 JW5867	Putative acyl-CoA dehydrogenase AidB (EC 1.3.99.-)	5 out of 5	cellular response to DNA damage stimulus [GO:0006974]; negative regulation of transcription, DNA-templated [GO:0045892]	ecj:JW5867;eco:b4187;	PF00441;PF02770;PF18158;	AAC77144;BAE78188;	EcoCyc:EG11811-MONOMER;ECOL316407:JW5867-MONOMER;MetaCyc:EG11811-MONOMER;
P45565	ais pmrG b2252 JW2246	Lipopolysaccharide core heptose(II)-phosphate phosphatase (EC 3.1.3.-) (Polymyxin resistance protein PmrG)	2 out of 5	lipopolysaccharide metabolic process [GO:0008653]	ecj:JW2246;eco:b2252;	PF00300;	AAC75312;BAA16075;	EcoCyc:G7165-MONOMER;ECOL316407:JW2246-MONOMER;
P04128	fimA pilA b4314 JW4277	Type-1 fimbrial protein, A chain (Type-1A pilin)	3 out of 5	cell adhesion [GO:0007155]; cell adhesion involved in single-species biofilm formation [GO:0043709]; pilus organization [GO:0043711]	ecj:JW4277;eco:b4314;	PF00419;	AAC77270;BAE78307;	EcoCyc:EG10308-MONOMER;ECOL316407:JW4277-MONOMER;
P0A9A6	ftsZ sfiB sulB b0095 JW0093	Cell division protein FtsZ	5 out of 5	cell division [GO:0051301]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]	ecj:JW0093;eco:b0095;	PF12327;PF00091;	AAC73206;BAB96663;	EcoCyc:EG10347-MONOMER;ECOL316407:JW0093-MONOMER;
P06136	ftsQ b0093 JW0091	Cell division protein FtsQ	5 out of 5	cell division [GO:0051301]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]	ecj:JW0091;eco:b0093;	PF03799;PF08478;	AAC73204;BAB96661;	EcoCyc:EG10342-MONOMER;ECOL316407:JW0091-MONOMER;
P28721	gltF b3214 JW3181	Protein GltF	2 out of 5		ecj:JW3181;eco:b3214;	PF06551;	AAC76246;BAE77258;	EcoCyc:EG11514-MONOMER;ECOL316407:JW3181-MONOMER;
P45763	gspL yheK b3333 JW5705	Putative type II secretion system protein L (T2SS protein L) (Putative general secretion pathway protein L)	3 out of 5	protein secretion by the type II secretion system [GO:0015628]	ecj:JW5705;eco:b3333;	PF12693;PF05134;	AAC76358;BAE77958;	EcoCyc:G7711-MONOMER;ECOL316407:JW5705-MONOMER;MetaCyc:G7711-MONOMER;
P0AAT6	rsfS rsfA slm3 ybeB b0637 JW5090	Ribosomal silencing factor RsfS	4 out of 5	mature ribosome assembly [GO:0042256]; negative regulation of ribosome biogenesis [GO:0090071]; negative regulation of translation [GO:0017148]	ecj:JW5090;eco:b0637;		AAC73738;BAA35284;	EcoCyc:EG11255-MONOMER;ECOL316407:JW5090-MONOMER;
P32053	intA intX slpA b2622 JW2602	Prophage integrase IntA (Prophage CP4-57 integrase SlpA)	4 out of 5	provirus excision [GO:0032359]; viral entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]	ecj:JW2602;eco:b2622;	PF13356;PF00589;	AAC75670;BAA20921;	EcoCyc:EG11783-MONOMER;ECOL316407:JW2602-MONOMER;
P77739	yniA b1725 JW1714	Probable ketoamine kinase YniA (EC 2.7.1.-)	2 out of 5		ecj:JW1714;eco:b1725;	PF03881;	AAC74795;BAA15501;	EcoCyc:G6930-MONOMER;ECOL316407:JW1714-MONOMER;
P03023	lacI b0345 JW0336	Lactose operon repressor	5 out of 5	negative regulation of transcription, DNA-templated [GO:0045892]; regulation of transcription, DNA-templated [GO:0006355]	ecj:JW0336;eco:b0345;	PF00356;	AAC73448;BAE76127;	EcoCyc:PD00763;ECOL316407:JW0336-MONOMER;
P32166	menA yiiW b3930 JW3901	1,4-dihydroxy-2-naphthoate octaprenyltransferase (DHNA-octaprenyltransferase) (EC 2.5.1.74)	5 out of 5	menaquinone biosynthetic process [GO:0009234]; ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate [GO:0032194]; vitamin K biosynthetic process [GO:0042371]	ecj:JW3901;eco:b3930;	PF01040;	AAC76912;BAE77380;	EcoCyc:DMK-MONOMER;ECOL316407:JW3901-MONOMER;MetaCyc:DMK-MONOMER;
P76558	maeB ypfF b2463 JW2447	NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40)	5 out of 5	malate metabolic process [GO:0006108]	ecj:JW2447;eco:b2463;	PF00390;PF03949;PF01515;	AAC75516;BAA16337;	EcoCyc:MALIC-NADP-MONOMER;ECOL316407:JW2447-MONOMER;MetaCyc:MALIC-NADP-MONOMER;
P64512	mgrB yobG b1826 JW1815	PhoP/PhoQ regulator MgrB	5 out of 5	cellular response to magnesium ion [GO:0071286]; negative regulation of molecular function [GO:0044092]; negative regulation of phosphorelay signal transduction system [GO:0070298]; response to acidic pH [GO:0010447]	ecj:JW1815;eco:b1826;	PF13998;	AAC74896;BAE76539;	EcoCyc:G7002-MONOMER;ECOL316407:JW1815-MONOMER;
Q46864	mqsA ygiT b3021 JW2989	Antitoxin MqsA	5 out of 5	regulation of transcription, DNA-templated [GO:0006355]	ecj:JW2989;eco:b3021;	PF15731;	AAC76057;BAE77077;	EcoCyc:G7571-MONOMER;ECOL316407:JW2989-MONOMER;MetaCyc:G7571-MONOMER;
P30011	nadC b0109 JW0105	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	4 out of 5	'de novo' NAD biosynthetic process from aspartate [GO:0034628]; NAD biosynthetic process [GO:0009435]; quinolinate catabolic process [GO:0034213]	ecj:JW0105;eco:b0109;	PF01729;PF02749;	AAC73220;BAE76041;	EcoCyc:QUINOPRIBOTRANS-MONOMER;ECOL316407:JW0105-MONOMER;MetaCyc:QUINOPRIBOTRANS-MONOMER;
P0AF28	narL frdR b1221 JW1212	Nitrate/nitrite response regulator protein NarL	5 out of 5	nitrate assimilation [GO:0042128]; phosphorelay signal transduction system [GO:0000160]; regulation of gene expression [GO:0010468]; regulation of nitrate assimilation [GO:0090352]; regulation of transcription, DNA-templated [GO:0006355]	ecj:JW1212;eco:b1221;	PF00196;PF00072;	AAC74305;BAA36089;	EcoCyc:NARL-MONOMER;ECOL316407:JW1212-MONOMER;
P0AFB1	nlpI yhbM b3163 JW3132	Lipoprotein NlpI	5 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]	ecj:JW3132;eco:b3163;	PF07719;PF13181;	AAC76197;BAE77209;	EcoCyc:EG12371-MONOMER;ECOL316407:JW3132-MONOMER;
P13738	nhaA ant b0019 JW0018	Na(+)/H(+) antiporter NhaA (Sodium/proton antiporter NhaA)	5 out of 5	cellular sodium ion homeostasis [GO:0006883]; regulation of intracellular pH [GO:0051453]; response to cation stress [GO:0043157]; sodium ion export across plasma membrane [GO:0036376]	ecj:JW0018;eco:b0019;	PF06965;	AAC73130;BAB96592;	EcoCyc:NHAA-MONOMER;ECOL316407:JW0018-MONOMER;MetaCyc:NHAA-MONOMER;
P77788	nudG ynjG b1759 JW1748	CTP pyrophosphohydrolase (EC 3.6.1.65)	5 out of 5	DNA repair [GO:0006281]	ecj:JW1748;eco:b1759;	PF00293;	AAC74829;BAA15549;	EcoCyc:G6954-MONOMER;ECOL316407:JW1748-MONOMER;MetaCyc:G6954-MONOMER;
P0AFH6	oppC b1245 JW1237	Oligopeptide transport system permease protein OppC	3 out of 5	protein transport [GO:0015031]; transmembrane transport [GO:0055085]	ecj:JW1237;eco:b1245;	PF00528;PF12911;	AAC74327;BAA14777;	EcoCyc:OPPC-MONOMER;ECOL316407:JW1237-MONOMER;MetaCyc:OPPC-MONOMER;
P42641	obgE cgtA obg yhbZ b3183 JW3150	GTPase ObgE/CgtA (EC 3.6.5.-) (GTP-binding protein Obg)	5 out of 5	chromosome segregation [GO:0007059]; dormancy process [GO:0022611]; negative regulation of ribosome biogenesis [GO:0090071]; ribosome assembly [GO:0042255]	ecj:JW3150;eco:b3183;	PF01018;PF01926;	AAC76215;BAE77227;	EcoCyc:G7656-MONOMER;ECOL316407:JW3150-MONOMER;
P0A9C0	glpA b2241 JW2235	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (G-3-P dehydrogenase) (EC 1.1.5.3)	5 out of 5	anaerobic respiration [GO:0009061]; glycerol-3-phosphate catabolic process [GO:0046168]; glycerol catabolic process [GO:0019563]	ecj:JW2235;eco:b2241;	PF01266;PF04324;	AAC75301;BAA16060;	EcoCyc:ANGLYC3PDEHYDROGSUBUNITA-MONOMER;ECOL316407:JW2235-MONOMER;MetaCyc:ANGLYC3PDEHYDROGSUBUNITA-MONOMER;
P0CI31	hcaB phdD yfhX b2541 JW2525	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (EC 1.3.1.87) (2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase) (3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase) (CI-dihydrodiol dehydrogenase) (Cis-3-(2-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (Cis-3-(2-carboxyethyl)-3,5-cyclohexadiene-1,2-diol dehydrogenase) (PP-dihydrodiol dehydrogenase)	4 out of 5	3-phenylpropionate catabolic process [GO:0019380]	ecj:JW2525;eco:b2541;	PF00106;	AAC75594;BAA16444;	EcoCyc:PHENPRODIOLDEHYDROG-MONOMER;MetaCyc:PHENPRODIOLDEHYDROG-MONOMER;
P46118	hexR yebK b1853 JW1842	HTH-type transcriptional regulator HexR (Hex regulon repressor)	3 out of 5	carbohydrate derivative metabolic process [GO:1901135]; cellular response to DNA damage stimulus [GO:0006974]; regulation of transcription, DNA-templated [GO:0006355]	ecj:JW1842;eco:b1853;	PF01418;PF01380;	AAC74923;BAA15661;	EcoCyc:EG12860-MONOMER;ECOL316407:JW1842-MONOMER;
P36646	hofC hopC yacD b0106 JW0102	Protein transport protein HofC homolog	2 out of 5	protein secretion by the type II secretion system [GO:0015628]	ecj:JW0102;eco:b0106;	PF00482;	AAC73217;BAB96674;	EcoCyc:EG11798-MONOMER;ECOL316407:JW0102-MONOMER;
Q46893	ispD ygbP b2747 JW2717	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (CDP-ME synthase) (MEP cytidylyltransferase) (MCT)	5 out of 5	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	ecj:JW2717;eco:b2747;	PF01128;	AAC75789;BAE76824;	EcoCyc:G7423-MONOMER;ECOL316407:JW2717-MONOMER;MetaCyc:G7423-MONOMER;
P0AD59	ivy ykfE b0220 JW0210	Inhibitor of vertebrate lysozyme	5 out of 5	chaperone-mediated protein folding [GO:0061077]; regulation of catalytic activity [GO:0050790]	ecj:JW0210;eco:b0220;		AAC73324;BAA77890;	EcoCyc:G6104-MONOMER;ECOL316407:JW0210-MONOMER;
P32099	lplA yjjF b4386 JW4349	Lipoate-protein ligase A (EC 6.3.1.20) (Lipoate--protein ligase)	5 out of 5	protein lipoylation [GO:0009249]	ecj:JW4349;eco:b4386;	PF03099;PF10437;	AAC77339;BAE78375;	EcoCyc:EG11796-MONOMER;ECOL316407:JW4349-MONOMER;MetaCyc:EG11796-MONOMER;
P00946	manA pmi b1613 JW1605	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	5 out of 5	cell wall mannoprotein biosynthetic process [GO:0000032]; colanic acid biosynthetic process [GO:0009242]; GDP-mannose biosynthetic process [GO:0009298]; mannose catabolic process [GO:0019309]; protein glycosylation [GO:0006486]	ecj:JW1605;eco:b1613;	PF01238;	AAC74685;BAA15361;	EcoCyc:MANNPISOM-MONOMER;ECOL316407:JW1605-MONOMER;MetaCyc:MANNPISOM-MONOMER;
P25738	msyB b1051 JW1039	Acidic protein MsyB	2 out of 5		ecj:JW1039;eco:b1051;	PF13984;	AAC74135;BAA35850;	EcoCyc:EG11338-MONOMER;ECOL316407:JW1039-MONOMER;
P77338	mscK aefA kefA b0465 JW0454	Mechanosensitive channel MscK (Potassium efflux system KefA)	4 out of 5	cellular water homeostasis [GO:0009992]; potassium ion transport [GO:0006813]; transmembrane transport [GO:0055085]	ecj:JW0454;eco:b0465;	PF00924;PF12795;PF12794;	AAC73567;BAE76244;	EcoCyc:G6255-MONOMER;ECOL316407:JW0454-MONOMER;
P39285	mscM yjeP b4159 JW4120	Miniconductance mechanosensitive channel MscM	3 out of 5	ion transport [GO:0006811]; transmembrane transport [GO:0055085]	ecj:JW4120;eco:b4159;	PF00924;PF12795;PF12794;	AAC77119;BAE78163;	EcoCyc:G7840-MONOMER;ECOL316407:JW4120-MONOMER;
P22188	murE b0085 JW0083	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	5 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ecj:JW0083;eco:b0085;	PF01225;PF02875;PF08245;	AAC73196;BAB96653;	EcoCyc:UDP-NACMURALGLDAPLIG-MONOMER;ECOL316407:JW0083-MONOMER;MetaCyc:UDP-NACMURALGLDAPLIG-MONOMER;
P0AF10	mtlR b3601 JW3575	Mannitol operon repressor (Mannitol repressor protein)	3 out of 5	negative regulation of transcription, DNA-templated [GO:0045892]	ecj:JW3575;eco:b3601;	PF05068;	AAC76625;BAE77692;	EcoCyc:PD00369;ECOL316407:JW3575-MONOMER;
P0ABL5	napC yejX b2202 JW2190	Cytochrome c-type protein NapC	3 out of 5	anaerobic respiration [GO:0009061]; denitrification pathway [GO:0019333]	ecj:JW2190;eco:b2202;	PF03264;	AAC75262;BAE76665;	EcoCyc:NAPC-MONOMER;ECOL316407:JW2190-MONOMER;
P0AFA7	nhaB b1186 JW1175	Na(+)/H(+) antiporter NhaB (Sodium/proton antiporter NhaB)	5 out of 5	intracellular pH reduction [GO:0051452]; proton transmembrane transport [GO:1902600]; response to lithium ion [GO:0010226]; sodium ion transport [GO:0006814]	ecj:JW1175;eco:b1186;	PF06450;	AAC74270;BAA36033;	EcoCyc:NHAB-MONOMER;ECOL316407:JW1175-MONOMER;MetaCyc:NHAB-MONOMER;
P0AFE4	nuoK b2279 JW2274	NADH-quinone oxidoreductase subunit K (EC 7.1.1.-) (NADH dehydrogenase I subunit K) (NDH-1 subunit K) (NUO11)	5 out of 5	ATP synthesis coupled electron transport [GO:0042773]	ecj:JW2274;eco:b2279;	PF00420;	AAC75339;BAA16107;	EcoCyc:NUOK-MONOMER;ECOL316407:JW2274-MONOMER;MetaCyc:NUOK-MONOMER;
P11071	aceK b4016 JW3976	Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-)	5 out of 5	glucose metabolic process [GO:0006006]; glyoxylate cycle [GO:0006097]; peptidyl-serine dephosphorylation [GO:0070262]; peptidyl-serine phosphorylation [GO:0018105]; protein dephosphorylation [GO:0006470]; regulation of catalytic activity [GO:0050790]; tricarboxylic acid cycle [GO:0006099]	ecj:JW3976;eco:b4016;	PF06315;	AAC76986;BAE78018;	EcoCyc:ICITDEHASE-KIN-PHOSPHA;ECOL316407:JW3976-MONOMER;MetaCyc:ICITDEHASE-KIN-PHOSPHA;
P31440	adeQ yicO b3664 JW5636	Adenine permease AdeQ	4 out of 5	adenine transport [GO:0015853]	ecj:JW5636;eco:b3664;	PF00860;	AAC76687;BAE77629;	EcoCyc:EG11691-MONOMER;ECOL316407:JW5636-MONOMER;MetaCyc:EG11691-MONOMER;
P76518	yfdE b2371 JW2368	Acetyl-CoA:oxalate CoA-transferase (ACOCT) (EC 2.8.3.19) (Acetyl-coenzyme A transferase) (CoA:oxalate CoA-transferase)	3 out of 5		ecj:JW2368;eco:b2371;	PF02515;	AAC75430;BAA16242;	EcoCyc:G7234-MONOMER;ECOL316407:JW2368-MONOMER;MetaCyc:G7234-MONOMER;
P0A9E0	araC b0064 JW0063	Arabinose operon regulatory protein (HTH-type transcriptional regulator AraC)	5 out of 5	arabinose catabolic process [GO:0019568]	ecj:JW0063;eco:b0064;	PF02311;PF12833;	AAC73175;BAB96633;	EcoCyc:PD00242;ECOL316407:JW0063-MONOMER;
P45759	gspE yheG b3326 JW3288	Putative type II secretion system protein E (T2SS protein E) (Putative general secretion pathway protein E) (Type II traffic warden ATPase)	3 out of 5	protein secretion by the type II secretion system [GO:0015628]	ecj:JW3288;eco:b3326;	PF00437;	AAC76351;BAE77965;	EcoCyc:G7704-MONOMER;ECOL316407:JW3288-MONOMER;MetaCyc:G7704-MONOMER;
P31658	hchA yedU yzzC b1967 JW1950	Protein/nucleic acid deglycase 1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Glyoxalase III) (EC 4.2.1.130) (Holding molecular chaperone) (Hsp31) (Maillard deglycase)	5 out of 5	DNA repair [GO:0006281]; guanine deglycation [GO:0106044]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; protein deglycation [GO:0036525]; protein repair [GO:0030091]; response to acidic pH [GO:0010447]; response to methylglyoxal [GO:0051595]; RNA repair [GO:0042245]	ecj:JW1950;eco:b1967;		AAC75033;BAA15794;	EcoCyc:G7055-MONOMER;ECOL316407:JW1950-MONOMER;MetaCyc:G7055-MONOMER;
Q47142	hcaT yfhS b2536 JW2520	Probable 3-phenylpropionic acid transporter	3 out of 5	organic substance transport [GO:0071702]	ecj:JW2520;eco:b2536;	PF12832;	AAC75589;BAA16431;	EcoCyc:HCAT-MONOMER;ECOL316407:JW2520-MONOMER;
P76339	hprS yedV b1968 JW1951	Sensor histidine kinase HprS (EC 2.7.13.3) (Hydrogen peroxide response sensor)	5 out of 5	cellular response to DNA damage stimulus [GO:0006974]; phosphorelay signal transduction system [GO:0000160]	ecj:JW1951;eco:b1968;	PF02518;PF00512;	AAC75034;BAA15795;	EcoCyc:G7056-MONOMER;ECOL316407:JW1951-MONOMER;
P26281	folK b0142 JW0138	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)	4 out of 5	folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	ecj:JW0138;eco:b0142;	PF01288;	AAC73253;BAB96719;	EcoCyc:H2PTERIDINEPYROPHOSPHOKIN-MONOMER;ECOL316407:JW0138-MONOMER;MetaCyc:H2PTERIDINEPYROPHOSPHOKIN-MONOMER;
P0A705	infB gicD ssyG b3168 JW3137	Translation initiation factor IF-2	5 out of 5	translational initiation [GO:0006413]	ecj:JW3137;eco:b3168;	PF00009;PF11987;PF08364;PF04760;	AAC76202;BAE77214;	EcoCyc:EG10505-MONOMER;ECOL316407:JW3137-MONOMER;
P39343	idnR yjgS b4264 JW4221	HTH-type transcriptional regulator IdnR (L-idonate regulatory protein)	2 out of 5	D-gluconate metabolic process [GO:0019521]; regulation of transcription, DNA-templated [GO:0006355]	ecj:JW4221;eco:b4264;	PF00356;	AAC77221;BAE78261;	EcoCyc:G7891-MONOMER;ECOL316407:JW4221-MONOMER;
P0CE53	insH6 b1994 JW1972	Transposase InsH for insertion sequence element IS5H	2 out of 5	transposition, DNA-mediated [GO:0006313]	ecj:JW1972;eco:b1994;	PF01609;PF05598;	AAC75055;BAA15811;	EcoCyc:G7074-MONOMER;
